TicketID,BookingID,FlightID,Price,TicketDate
1,1,1164,375.98501738598225,2024-04-16
2,2,962,295.7699273015328,2024-03-26
3,3,834,56.889019698404006,2024-04-16
4,4,477,657.928168568994,2024-01-02
5,5,1411,228.40677508880853,2024-03-19
6,6,830,694.6013715200561,2024-01-16
7,7,730,212.1696077440556,2024-05-04
8,8,392,148.19290544066138,2024-03-14
9,9,219,820.2793315403527,2024-04-18
10,10,734,861.7486657583543,2024-05-02
11,11,387,949.6172873267427,2024-05-05
12,12,1106,944.9612746012486,2024-03-08
13,13,1078,421.56513854196623,2024-02-27
14,14,1443,95.53576789419861,2024-01-30
15,15,1788,735.7324436871432,2024-02-17
16,16,510,228.77113181195182,2024-04-14
17,17,339,798.3029243717544,2024-03-05
18,18,1754,184.47951815432555,2024-01-14
19,19,66,997.1741255640852,2024-02-19
20,20,1510,580.235792891354,2024-03-01
21,21,536,278.1421333116992,2024-01-27
22,22,1735,782.407385227439,2024-04-08
23,23,1512,678.5499936588316,2024-01-02
24,24,690,388.9493805063804,2024-04-09
25,25,1730,230.34352170700444,2024-02-03
26,26,1125,725.0197074580427,2024-02-02
27,27,561,62.846958063824225,2024-02-02
28,28,39,374.0743056726162,2024-03-12
29,29,329,452.0093419321744,2024-01-09
30,30,1515,77.93772345435237,2024-03-04
31,31,1574,553.9401067990564,2024-01-06
32,32,854,412.7958780352406,2024-03-22
33,33,994,178.85410129720321,2024-02-22
34,34,289,346.9924692596731,2024-04-13
35,35,1832,137.29691807627347,2024-02-24
36,36,599,644.9369656367727,2024-03-28
37,37,931,114.7566832056835,2024-02-03
38,38,1913,862.3154154845263,2024-01-16
39,39,966,891.2419369741634,2024-04-25
40,40,1742,659.705637014981,2024-02-06
41,41,5,431.822196408542,2024-05-05
42,42,649,834.0592868095049,2024-02-12
43,43,74,320.57487725536527,2024-04-11
44,44,1986,126.04604120873259,2024-01-28
45,45,924,281.62434215130395,2024-01-20
46,46,521,388.33111631068624,2024-03-23
47,47,1137,341.2111136918217,2024-02-14
48,48,1068,729.728922917172,2024-02-14
49,49,296,443.75375337813335,2024-05-01
50,50,1639,877.1851131345273,2024-05-01
51,51,640,670.2556587398383,2024-01-16
52,52,97,865.5781748437519,2024-04-06
53,53,72,130.56772694568303,2024-05-05
54,54,701,568.3225026639495,2024-03-25
55,55,1040,663.5495001265514,2024-02-03
56,56,1426,226.78887670743842,2024-03-01
57,57,1741,287.70539400849725,2024-02-11
58,58,705,452.56213629582754,2024-02-10
59,59,110,419.14399096762105,2024-03-03
60,60,1051,641.6862092014662,2024-02-07
61,61,1833,851.1393031512977,2024-03-13
62,62,1276,284.56844381891915,2024-01-30
63,63,127,493.01919647697457,2024-03-01
64,64,1723,568.5181593984171,2024-02-29
65,65,1878,99.23731964584042,2024-02-11
66,66,759,392.47407364767054,2024-04-06
67,67,1702,236.45823197497387,2024-01-23
68,68,892,846.6251853331704,2024-05-03
69,69,819,645.6808764080951,2024-04-30
70,70,1763,585.477371137163,2024-04-22
71,71,1404,176.3744004994865,2024-02-20
72,72,42,756.0371115813567,2024-03-03
73,73,203,586.4020232777358,2024-03-31
74,74,1770,302.0517571179955,2024-04-14
75,75,920,501.4332826159221,2024-02-17
76,76,563,989.5206954004962,2024-02-05
77,77,479,966.0070334942956,2024-01-15
78,78,361,605.65290031976,2024-04-26
79,79,1042,471.0913276946132,2024-01-07
80,80,1506,773.2966481436634,2024-04-20
81,81,948,781.3667289244805,2024-02-28
82,82,1647,768.6785608685669,2024-04-26
83,83,1606,320.8865795755318,2024-04-24
84,84,1369,246.307492356338,2024-02-26
85,85,430,949.3314186661685,2024-04-27
86,86,896,784.6601856360769,2024-01-01
87,87,1138,302.59265772459236,2024-04-08
88,88,1570,735.3918593786464,2024-01-13
89,89,1029,503.3760151480519,2024-02-24
90,90,851,145.40520633154478,2024-05-05
91,91,941,348.75496816939267,2024-02-26
92,92,1048,531.8287692204569,2024-01-01
93,93,1529,900.1355112855558,2024-03-28
94,94,348,99.5949810047032,2024-04-13
