PromotionID,Description,Discount,ValidFrom,ValidTo
1,Check term gas page bed rate consumer.,19.291333214564276,2023-10-05,2024-07-15
2,Issue wind plant picture chance bed.,11.799008208968534,2024-04-20,2024-12-19
3,This animal home than this name.,14.251749532084515,2024-05-04,2024-08-16
4,Call be much heart bed.,17.606267576227488,2023-08-10,2025-01-02
5,Play meeting professional difference morning man.,27.927530278001818,2024-02-09,2025-02-09
6,Why free idea.,17.80301973420745,2024-01-01,2025-02-10
7,Ok determine perform page operation.,16.519049089894764,2024-04-03,2024-12-04
8,Establish child draw edge even.,22.063696706431706,2023-10-09,2024-05-22
9,Draw take national team network wife billion.,19.6862748210297,2023-09-05,2024-11-08
10,Lot law laugh issue adult these.,14.078332282834575,2023-08-27,2024-09-16
11,Reveal realize opportunity.,14.331357335992191,2024-01-24,2024-12-04
12,Myself line exist.,27.875063846147455,2024-02-26,2025-01-04
13,Money trial fact dark interesting month structure.,17.1767986909394,2024-04-14,2025-04-13
14,Us project major morning wear.,8.947054043555735,2024-05-05,2024-09-11
15,Receive boy low idea police.,22.21788487585114,2023-10-24,2024-06-02
16,Every cut finally lay information cultural collection theory.,20.63292925137503,2024-01-21,2025-04-17
17,Culture be at style their.,29.894924823980645,2024-01-23,2024-11-12
18,Notice hard almost smile without right suffer as.,15.37443842369579,2023-06-20,2024-08-29
19,Customer place city later whom note.,19.410374243758888,2024-04-26,2025-04-01
20,Player especially idea glass.,13.345908403726131,2023-10-26,2024-06-20
21,Record over interest manage cut stock.,17.320331137073175,2024-01-22,2025-04-26
22,Happy agent some specific minute.,8.787199094207239,2024-04-01,2025-01-01
23,Particularly design worry affect.,13.646029801862845,2023-07-27,2025-01-31
24,Relate type should air someone situation success.,22.62566844123514,2023-12-02,2025-03-23
25,Anything many hold baby win together site.,8.872685378391344,2023-05-12,2025-04-30
26,Approach gun color great.,22.123350976491537,2023-10-02,2025-02-17
27,Scientist national skill what.,15.097788370117843,2023-09-22,2025-02-09
28,Team want couple base pull rule.,25.26851099741937,2024-01-12,2024-08-02
29,Finish us try actually soon wonder.,28.43870862108038,2023-05-30,2024-11-28
30,Senior nature Democrat painting police so.,17.98138797865681,2023-08-11,2025-01-06
31,Office security understand sing century today bed activity.,11.877568639322416,2024-04-18,2024-09-15
32,Majority party consider receive scientist price adult.,7.631881323037069,2023-05-22,2024-10-20
33,Recent somebody painting short unit almost president.,26.30926502403198,2023-12-07,2024-12-22
34,Cover provide foreign result member address southern become.,28.763086978509214,2023-09-03,2024-08-10
